location_clean,price_myr,size_sqft,rooms_num,bathrooms_num,carparks_num,property_base,property_subtype,furnishing_clean
KLCC,1250000.0,1335.0,3,3,2,Serviced Residence,Standard,Fully Furnished
Dutamas,1030000.0,1875.0,3,4,2,Condominium,Corner,Partly Furnished
Bukit Jalil,900000.0,1513.0,5,3,2,Condominium,Corner,Partly Furnished
Mont Kiara,1780000.0,1830.0,5,4,2,Condominium,Corner,Partly Furnished
Desa ParkCity,1500000.0,1798.0,5,4,2,Condominium,Corner,Partly Furnished
Damansara Heights,1550000.0,904.0,1,1,1,Serviced Residence,Intermediate,Fully Furnished
Mont Kiara,1500000.0,2163.0,4,4,3,Condominium,Standard,Fully Furnished
Mont Kiara,1450000.0,2163.0,4,4,0,Condominium,Standard,Fully Furnished
Bangsar South,490000.0,520.0,1,1,1,Serviced Residence,Standard,Fully Furnished
Bukit Jalil,610000.0,1236.0,4,2,2,Condominium,Intermediate,Partly Furnished
Mont Kiara,1830000.0,1668.0,3,4,0,Condominium,Intermediate,Partly Furnished
Ampang Hilir,460000.0,613.0,1,1,1,Serviced Residence,Standard,Fully Furnished
KLCC,2400000.0,1006.0,2,2,1,Serviced Residence,Standard,Fully Furnished
Jalan Klang Lama (Old Klang Road),1438000.0,2378.0,5,4,3,Condominium,Corner,Partly Furnished
Mont Kiara,1720000.0,2020.0,5,6,3,Condominium,Corner,Partly Furnished
KLCC,2300000.0,1023.0,1,2,1,Serviced Residence,Standard,Partly Furnished
Mont Kiara,1080000.0,896.0,2,2,1,Serviced Residence,Standard,Fully Furnished
Mont Kiara,1150000.0,1200.0,3,2,2,Condominium,Corner,Partly Furnished
Bangsar South,780000.0,880.0,2,2,1,Serviced Residence,Corner,Partly Furnished
KL City,1800000.0,1244.0,2,2,1,Serviced Residence,Duplex,Fully Furnished
Bangsar South,850000.0,1050.0,3,2,1,Serviced Residence,Standard,Fully Furnished
Mont Kiara,1850000.0,2347.0,4,4,0,Condominium,Standard,Partly Furnished
KLCC,1698800.0,1227.0,2,2,1,Serviced Residence,Intermediate,Fully Furnished
KLCC,1500000.0,1022.0,2,2,1,Serviced Residence,Corner,Fully Furnished
KLCC,2300000.0,1023.0,1,2,1,Serviced Residence,Intermediate,Partly Furnished
Mont Kiara,1830000.0,1830.0,4,4,2,Condominium,Corner,Partly Furnished
Setapak,580000.0,1550.0,5,2,2,Condominium,Corner,Partly Furnished
KLCC,2030000.0,2356.0,4,5,2,Condominium,Standard,Fully Furnished
KLCC,1799000.0,720.0,1,1,1,Serviced Residence,Standard,Fully Furnished
KLCC,1820000.0,1159.0,3,2,2,Condominium,Corner,Fully Furnished
KLCC,1000000.0,1313.0,4,3,2,Serviced Residence,Corner,Partly Furnished
KLCC,1650000.0,1905.0,4,5,2,Condominium,Corner,Fully Furnished
